P_left,P_right,P_med,L_med,n,base_bin_count,bin_width,min_bin_samples,line,line_name,scheme,power_col_for_prediction,power_threshold_axis,power_switch_threshold,fan_threshold_b
80.0,90.0,85.17433500000001,5.673720100000004,3406,1,10.0,20,WU,戊（WU）,A,CT_eff,CT_eff,,10.0
90.0,100.0,94.71253999999999,5.885010000000001,3354,1,10.0,20,WU,戊（WU）,A,CT_eff,CT_eff,,10.0
100.0,110.0,104.95812,6.327749999999995,3027,1,10.0,20,WU,戊（WU）,A,CT_eff,CT_eff,,10.0
110.0,120.0,114.65242,6.560249999999996,2801,1,10.0,20,WU,戊（WU）,A,CT_eff,CT_eff,,10.0
120.0,130.0,124.97452,7.037720000000007,2413,1,10.0,20,WU,戊（WU）,A,CT_eff,CT_eff,,10.0
130.0,140.0,134.8087,7.338339999999988,2193,1,10.0,20,WU,戊（WU）,A,CT_eff,CT_eff,,10.0
140.0,150.0,145.0586,7.798670000000001,2024,1,10.0,20,WU,戊（WU）,A,CT_eff,CT_eff,,10.0
150.0,160.0,155.1719,8.329149999999998,2173,1,10.0,20,WU,戊（WU）,A,CT_eff,CT_eff,,10.0
160.0,170.0,164.9919,8.89534999999998,2621,1,10.0,20,WU,戊（WU）,A,CT_eff,CT_eff,,10.0
170.0,180.0,174.929,9.167430000000024,2475,1,10.0,20,WU,戊（WU）,A,CT_eff,CT_eff,,10.0
180.0,190.0,185.107115,9.714849999999998,2300,1,10.0,20,WU,戊（WU）,A,CT_eff,CT_eff,,10.0
190.0,200.0,194.881565,10.235714999999999,2398,1,10.0,20,WU,戊（WU）,A,CT_eff,CT_eff,,10.0
200.0,210.0,204.932605,10.598359999999985,2214,1,10.0,20,WU,戊（WU）,A,CT_eff,CT_eff,,10.0
210.0,220.0,214.81538,11.055699999999973,2245,1,10.0,20,WU,戊（WU）,A,CT_eff,CT_eff,,10.0
220.0,230.0,225.49918,11.590180000000004,2109,1,10.0,20,WU,戊（WU）,A,CT_eff,CT_eff,,10.0
230.0,240.0,234.66002,12.441689999999994,1471,1,10.0,20,WU,戊（WU）,A,CT_eff,CT_eff,,10.0
240.0,250.0,244.50043,12.76418000000001,1403,1,10.0,20,WU,戊（WU）,A,CT_eff,CT_eff,,10.0
250.0,260.0,255.28062999999997,13.884340000000023,1368,1,10.0,20,WU,戊（WU）,A,CT_eff,CT_eff,,10.0
260.0,270.0,265.80329,14.940160249999991,2398,1,10.0,20,WU,戊（WU）,A,CT_eff,CT_eff,,10.0
270.0,280.0,275.78502000000003,15.465180000000004,3362,1,10.0,20,WU,戊（WU）,A,CT_eff,CT_eff,,10.0
280.0,290.0,282.19237999999996,15.863235000000032,2484,1,10.0,20,WU,戊（WU）,A,CT_eff,CT_eff,,10.0
290.0,300.0,291.209395,16.1498,1988,1,10.0,20,WU,戊（WU）,A,CT_eff,CT_eff,,10.0
0.0,10.0,8.361869,3.464428,2551,1,10.0,20,WU,戊（WU）,AP,CT_eff,CT_eff,9.5,10.0
